KARLS_FIXTURE_TEAM_NAME,FLASHSCORE_RESULT_NAME
Arsenal,Arsenal
Aston Villa,Aston Villa
Bournemouth,Bournemouth
Brighton,Brighton
Burnley,Burnley
C.Palace,Crystal Palace
Chelsea,Chelsea
Crystal Palace,Crystal Palace
Everton,Everton
Leicester,Leicester
Liverpool,Liverpool
Man City,Manchester City
Man Utd,Manchester Utd
Newcastle,Newcastle
Norwich,Norwich
Sheff Utd,Sheffield Utd
Sheffield Utd,Sheffield Utd
Southampton,Southampton
Spurs,Tottenham
Tottenham,Tottenham
Watford,Watford
West Ham,West Ham
Wolverhampton,Wolves
Wolves,Wolves
